Name,Topic,Voice Line
Cyno,Something to Share: Solemn Respect Friendship Lv. 4,"Any decision I make during a mission can have a profound effect on the fates of others. This is why I must always maintain a solemn respect for my position as a matra, the same way I respect knowledge and power."
Cyno,Interesting Things,"I'm fond of the shrubs that grow in the desert. The desert is a symbol of repose and solitude, and all civilizations will eventually be buried by a sandstorm. But despite these desolate conditions, there are still signs of growth. Sometimes, I really find myself impressed by their tenacity."
Cyno,About Tighnari: Knowledge Friendship Lv. 4,"Tighnari is different from other scholars I've met. He has the same wholehearted dedication to knowledge, but he will never cross the most important boundaries. Some scholars see themselves as gods within their own laboratories, but not Tighnari — he has always shown the same respect for every form of life. I've heard that he even declined a position in the Akademiya, and I support his decision."
Cyno,About Tighnari: Jokes Friendship Lv. 4,"Tighnari once told me not to tell jokes at the dinner table, insisting that my jokes weren't funny at all. I did not share his opinion, so I told three of my best jokes in a row, and explained the premise of each in great detail. By the time I was done talking, my food was cold."
Cyno,About Collei Friendship Lv. 4,"I once helped Collei seal away the god's remains in her body, but the process was an unthinkably painful one. To many, enduring that kind of pain would be a prospect more terrifying than death, so it was very admirable that she was able to persevere through it all."
Cyno,About Alhaitham Friendship Lv. 4 King Deshret and the Three Magi,"I don't really like people who are too smart. They think they can control everything, and constantly venture to the fringes of danger. But Alhaitham is one of the more reliable ones. In most cases, he is actually in control of things and has the ability to avert potential disaster."
Cyno,About Kaveh Friendship Lv. 4,"Tighnari and Collei never said it to my face, but they found Kaveh's personal anecdotes far more entertaining than the jokes I had prepared... I could see it on their faces. Hmm? What did I think about that? Well, I thought it was funny that they could laugh at such a situation."
Cyno,"About Nahida Friendship Lv. 4 Akasha Pulses, the Kalpa Flame Rises","Commenting on a god might be overstepping my position a little... But when I was working with her, I personally witnessed her wisdom, courage, and determination. Compared with those sages who constantly undermined and criticized her without a shred of evidence, I think I can provide a more reliable assessment: She is an exceptional deity who is worthy of everyone's respect."
Cyno,"About Nilou Friendship Lv. 4 Akasha Pulses, the Kalpa Flame Rises",I can sense her enthusiasm and passion for dancing — it has become an integral part of her being. I hope that she will always be able to use the art she loves to bring happiness to other people.
Cyno,About Faruzan Friendship Lv. 4,"I've carefully browsed through the case files regarding Faruzan's disappearance. At the time, I thought maybe she had been conducting some kind of dangerous research, but once I met her in person, I completely abandoned that idea. Though it might be a little hard for me to get along with her, she mostly reminds me of a kindly and chatty parent. She is considerate of others, and would never do anything imprudent."
Cyno,About Lisa Friendship Lv. 4,"Of course I know about Lisa, we once both studied under the same sage. As General Mahamatra, I've seen many tragedies befall those seeking knowledge too assiduously, so it's easy for me to understand her decision."
Cyno,More About Cyno: I,"Huh? You want to know more about me? Hm, I suppose many people see me as a thorn in their side... But don't worry, as long as you don't do anything dangerous, you won't have any trouble with me."
Cyno,More About Cyno: II Friendship Lv. 3,"With my body as a vessel, I can harness the power of the spirit that dwells within me. This is possible in part due to my natural constitution, but also due to a deal I willingly made in the past. There's no reason to shy away from the topic. If I am to weigh the souls of others in this world as a Matra, then I must also place my own soul on the scales to be judged in the same manner."
Cyno,More About Cyno: III Friendship Lv. 4,"Rather than thinking about the ""why"" of things, I prefer to focus on ""what"" has been done. There are countless reasons why people do things in this world, and upon hearing some of those reasons, you can't help but start to feel that the wrongdoer had a point, or that the public is being too harsh on them. The disadvantaged side will always garner people's sympathy, but the judge must abandon all such feelings. We may empathize with the pain and motivations of the accused, but a crime, once committed, cannot be left unpunished."
Cyno,More About Cyno: IV Friendship Lv. 5,"In the gloomy sea of ignorance, a faint glimmer of light will occasionally appear, luring those who do not understand the truth toward it. People will often see that glimmer as a beacon to guide their way, but in doing so overlook the great dangers still lurking in the pitch-black waters. Steering those who have long resided in darkness away from the light is a cruel thing in itself, but I must continue to do so until we can finally defeat the enemies that lay hidden beneath the water's surface."
Cyno,More About Cyno: V Friendship Lv. 6,"I've already told you everything that I think is worth sharing. What else could you possibly want to hear from me? Heh, your curiosity is remarkable... Alright, let's hear your questions. For someone who is used to interrogating others, the feeling of being questioned is... interesting."
Cyno,Cyno's Hobbies,"In my free time, I like to play Genius Invokation TCG with other people. Being able to express so much creativity and variation within a working rule set makes it more than just a game — it's an art form."
Cyno,Cyno's Troubles Friendship Lv. 6,"Just recently, I saw a light novel from Inazuma based on Genius Invokation TCG. When the main character found themselves in a rough spot, they somehow drew a card that wasn't even supposed to exist. This shook me to the core, and presented me with a great conundrum: Through directly manipulating the deck, they were able to pull off a miracle that nobody could have expected. The question is... should it be seen as breaking the rules, or is this, too, ultimately within the rules of the game?"
Cyno,Favorite Food,"Rice, meat, and dried nuts, mixed with some yogurt and roasted together... what a wonderful mix of flavors. You can feel the aroma seeping out with the steam as you cut into the crispy outside. It doesn't even take very long to make, definitely my favorite dish."
Cyno,Least Favorite Food,"The rations I take with me when traveling through the desert are usually completely tasteless. Once you've eaten enough of those, you'll be grateful for just about anything with some flavor. If I had to pick something, though... I wouldn't say I relish eating bugs or anything bug-related..."
Cyno,Receiving a Gift: I,Tastes great. You have my gratitude.
Cyno,Receiving a Gift: II,I accept. Thank you.
Cyno,Receiving a Gift: III,Agh... This is for me? ...Are you sure?
Cyno,Birthday,"Ahem... I'd like to wish you a happy birthday. Though I don't have much experience with celebrations, once I realized your birthday was coming, I decided to make some preparations. First, I have this deck for you that I worked on for a few days, I think it'll really suit your style. Also, I adjusted my schedule to open up some time, so is there anywhere you'd like to go? I'd be happy to accompany you. A birthday only lasts a day, but you should take the chance to really enjoy it. Just make sure we can be back within three days."
Cyno,Feelings About Ascension: Intro Ascension Phase 1,"I can feel new power surging within me, a testament to my growth."
Cyno,Feelings About Ascension: Building Up Ascension Phase 2,I vow to uphold the rules and punish evil.
Cyno,Feelings About Ascension: Climax Ascension Phase 4,Nice boost. Thanks a ton.
Cyno,Feelings About Ascension: Conclusion Ascension Phase 6,"My strength has reached its peak, but there are still many things I can never accomplish relying on my fighting power alone. There will still be many times when emotions and rules do not agree, but I think I'll find the key to striking the right balance in the journeys to come."
Diluc,Hello,"Diluc, of Mondstadt. Not interested in idle chit-chat. If you have things you want to get done, let me know."
Diluc,Chat: Relax,Guess we can rest a bit.
Diluc,Chat: Knights of Favonius,You should really bring the Knights of Favonius with you next time.
Diluc,Chat: Wine Guild,"I still have a lot to do at the Guild, how about you take a rest while I go back?"
Diluc,When It Rains: Umbrella,"I don't need an umbrella, but you can use one if you need."
Diluc,When It Rains: Cleansing,Rain... If only it could cleanse the corrupt souls of this world.
Diluc,When the Sun Is Out,"Listen, as long as you stick to your own path, it doesn't matter what mother nature throws at you."
Diluc,When the Wind Is Blowing,Some use the wind's whistling to drown out the sound of their crimes.
Diluc,Good Morning,No need for small talk. All that matters is that you were safe last night.
Diluc,Good Afternoon,Would you like to try the secret menu?
Diluc,Good Evening,Night has fallen.
Diluc,Good Night,"Alright, see you next time. I'll make sure you leave safely."
Diluc,About Diluc,"The legend of the ""Darknight Hero""? An interesting rumor."
Diluc,About Us: Needs,"Just say the word if you need anything. For reimbursements, ask Elzer."
Diluc,About Us: Proof Friendship Lv. 6,"You have already proven your determination. Well then, it is now time for you to witness my resolve."
Diluc,About the Vision Friendship Lv. 4,"Visions are a light in the sea of darkness that surrounds those who have lost their way. But for those who have faith, they are little more than badges of conviction."
Diluc,Something to Share,Occasionally I'll work the bar at Angel's Share. The tavern is known for being the center of information in Mondstadt.
Diluc,Interesting Things,"What? Why do you ask? ...It's an owl, quietly watching its prey from the darkness, waiting for the perfect moment to strike... Flawless."
Diluc,About Kaeya Friendship Lv. 4,Kaeya? You can only trust half of what he says... at best.
Diluc,About Lisa Friendship Lv. 4,I believe Lisa has the potential to become the most reliable of the knights. If she's willing.
Diluc,About Jean: Enemies Friendship Lv. 4,Trifling matters can become Jean's greatest enemy.
Diluc,About Jean: Responsibilities Friendship Lv. 4,Her unparalleled sense of responsibility is the sole reason why she still hasn't found her true calling.
Diluc,About Mona Friendship Lv. 4,"The land of Mondstadt, by the Anemo Archon's grace, is bountiful. I see no need for the harvest forecasts of astrologers."
Diluc,About Diona Friendship Lv. 4,Diona's attitude towards me is... how should I put it? Rather rigid. I've yet to find the opportunity to speak with her properly. I'm not sure if it's an issue with my family line or— Oh? It's not? She simply despises alcohol? Huh... I never thought I'd come across another bartender like myself in Mondstadt.
Diluc,About Varka Friendship Lv. 4,"Grand Master Varka... Whilst I understand his disposition, I can make no sense of his actions. ... I—I've said too much already. I've long since left the Knights of Favonius. Forget I said anything."
Diluc,About Eula Friendship Lv. 4,"Ah, yes... I've heard about her. She has her own convictions. Her determination to liberate herself from the shackles of her clan is praiseworthy. But, she's... joined the Knights of Favonius."
Diluc,More About Diluc: I,You have business to attend to?
Diluc,More About Diluc: II Friendship Lv. 3,Huh? Knights of Favonius? ...I have nothing to say about them. We have different views is all.
Diluc,More About Diluc: III Friendship Lv. 4,It's been a long while since I played chess with anyone but my butler. I just so happen to have a moment. Care to play a round?
Diluc,More About Diluc: IV Friendship Lv. 5,"Checkmate! ...Still, it's been a while since someone tested me this much."
Diluc,More About Diluc: V Friendship Lv. 6,"Not bad. Be it chess or combat, you always seem to surprise me. Hmm... working with you is quite the novelty. So... I look forward to continuing to work with you, partner."
Diluc,Diluc's Hobbies,The artwork in the manor? It's not mine. It's a collection that belonged to my late father.
Diluc,Diluc's Troubles,"The darkness that seethes with evil, full of demons that must be vanquished... will take more than a blade to be torn asunder."
Diluc,Favorite Food,You want to know what's in my glass? It's... grape juice. My drink of choice.
Diluc,Least Favorite Food,I don't like alcohol. It's just... I don't like how it feels in my mouth...
Diluc,Receiving a Gift: I,Exquisite. Unforgettable flavors.
Diluc,Receiving a Gift: II,I can see the chef put their heart into this one. A fine dish.
Diluc,Receiving a Gift: III,"...Umm, thanks."
Diluc,Birthday,"Happy Birthday. This is an important day for you. So tell me, what is it you wish for? If it is within my power to bestow it upon you, I will give it my consideration."
Diluc,Feelings About Ascension: Intro Ascension Phase 1,Power is necessary if we are to meet our objectives.
Diluc,Feelings About Ascension: Building Up Ascension Phase 2,"What lies in wait for us? I rarely stop to think about it.No matter what dares to stand in my way, I must press forward."
Diluc,Feelings About Ascension: Climax Ascension Phase 4,"I've become stronger... Though it is still not enough, I will always face the darkness.For dawn to come, there must be those who dare to pierce the darkness with their light."
Diluc,Feelings About Ascension: Conclusion Ascension Phase 6,"I used to believe... if I was to stamp out evil, I would have to walk alone in darkness. However, seeing your perseverance, I know I was wrong. Friend... I owe you my thanks."
Diona,Hello,"Diona, bartender of the Cat's Tail! I charge a hefty fee for private events. Huh? You didn't come here for a drink? Hmm... Then I accept your invitation... I suppose..."
Diona,Chat: Relax,Ahhh... that stretch feels good.
Diona,Chat: Thinking,"Hmm. Lizard Tail, Pepper, Starconch, hmm... what else do I need to create the most dreadfully disgusting cocktail?"
Diona,Chat: Waiting,I—I wasn't waiting for you. I just happened to be resting!
Diona,When It Rains,"Rain! I hate rain! ...Let's go inside... I—I'm not scared of water, I just... hate it when my clothes get wet."
Diona,When Thunder Strikes,"Ahh!!! Uhh, um... I'm not shaking, I'm not... Ohhhh..."
Diona,When It Snows: Playtime,"Ooh, it's so cold to touch. Wow, it's so much fun!"
Diona,When It Snows: Viewing,"Ooooh, look at the little white snowflakes dancing in the wind, to and fro, and... whew, isn't it... beautiful! C'mon, c'mon c'mon, sit with me... Watch..."
Diona,When the Sun Is Out,"Come on, let's go bask in the sun a bit~ ...If you aren't coming, I'll just go by myself~ ...Last chance! Are you coming or not!?"
Diona,Good Morning,Morning~ Can you hand me that can of salted loach from the cabinet? Time to destroy the wine industry!
Diona,Good Afternoon: Strange Noises,"Wha— Ugh, no! You heard nothing!"
Diona,Good Afternoon: Canned Food,"Uh, I was saving this can of fish for when I was really hungry. Stop looking at it like that! ...Mmm, okay, I'll let you have a little taste, but nothing more!"
Diona,Good Evening,"Aw, I failed... Ugh, again... Everyone loved my drinks! Gah... Don't try to comfort me. I—I don't need comforting!"
Diona,Good Night,"Without cat vision, will you be okay walking home in the dark? If you need me to escort you... What? Th—There's lights? Pff, well who said anything about escorting you? Go on now."
Diona,About Diona,"My ears and tail are no prop, they're real. Proof of my Kätzlein bloodline. It's only weird to you cause you've never seen it before. Wh—Why are you looking at me like that? Fine. You can touch my ears for a second, but the tail is off limits!"
Diona,About Us: Drinks,"You want a non-alcoholic drink? No, that's not difficult, but it's meaningless! It doesn't have anything to do with my grand plan of destroying the wine industry of Mondstadt. I won't waste my time on such a drink, hmph!"
Diona,About Us: VIP Channels Friendship Lv. 6,"Here! I call this Fantastic Summer-Serendipity Coral Sparkling Tea, I just made it one day when I was bored... Huh, you say it's popular? People are lining up to buy it? Don't be ridiculous."
Diona,About Us: The Need to Chat Friendship Lv. 6,"Well, if you ever feel lonely, you can chat with me. I know lots of cool things~ I'm a good... what's that called... chatting partner! Yes! A good chatting partner, come chat with me... lots... ...okay?"
Diona,About Us: Curiosity Friendship Lv. 6,"What's that!? What's that!? Let me see! Maybe I can add it to my next cocktail to give it a dreadful taste... Huh? It's just a strange-looking mushroom, how boring..."
Diona,About the Vision: Heirloom Friendship Lv. 3,"How did I get my Vision? Simple — everyone in the Kätzlein lineage gets one. ...Huh? Then why doesn't Draff have a Vision? Uhh... Oh no, the cat's out of the bag! Eek!"
Diona,About the Vision: Origin Friendship Lv. 5,"Why should I tell you!? Hmph! ...*sigh* Since you won't stop asking... and since we are friends, I'll tell you: One time, my daddy went missing on a hunt in a big storm. All I could think of was finding him, saving him... That's it, are you happy now!"
Diona,Something to Share,"Hey, do you think there are any exotic plants on Dragonspine? Maybe something with a deadly bitterness, or something that numbs your mouth upon contact? I'm going to pick a lot! And then... hehehe-hee-hee..."
Diona,Interesting Things,"When it comes to butterflies, I'm the best at pouncing on— err, catching them. Hey, not in a fun way! I catch butterflies to add a nasty taste to my cocktails. I'm not a cat! Meow! *hiss*"
Diona,About Diluc Friendship Lv. 4,"Diluc... I can't stand him! If there was no Diluc, there would be no Mondstadt wine industry; if there was no Mondstadt wine industry, Daddy wouldn't drink; and if Daddy didn't drink... he would keep me company. Ohhhh..."
Diona,About Kaeya Friendship Lv. 4,"How is it that even a captain is a disgusting boozehound! You know, that guy who's got that laugh! He downs drink after drink. Ugh!"
Diona,About Venti Friendship Lv. 4,"Venti? I'm not familiar with him... He's a bard? Oh, he must be that guy who sings tunes to entertain the drunkards. Well, then I don't like him, no no no..."
Diona,About Barbara Friendship Lv. 4,"How come all my fans are drunk middle-aged men, while Barbara's are all young people...? Hmph! So stupid. Forget it!"
Diona,About Jean Friendship Lv. 4,"Acting Grand Master of the Knights of Favonius... A rare, mature adult who doesn't drink... But perhaps a little too earnest, cause is it just me, or are the Knights overdoing it a bit on protecting me? Hm!"
Diona,About Albedo Friendship Lv. 4,Alchemy genius? Hmm... I wonder if he knows of a way to finally help me make a drink that people don't like?
Diona,About Lisa Friendship Lv. 4,"Lisa is so nice and gentle! But... how can such a gentle person also be a regular drinker!? Ohhhh... Why!? ...There's really no hope for Mondstadt, is there?"
Diona,About Xiangling Friendship Lv. 4,"Xiangling once gave me a ""so-awful-it-goes-with-nothing"" food combination she came up with, saying how it tasted absolutely terrible, blah blah blah... It didn't work, no use at all. All my little cat ears heard that night was ""One more cup of that good stuff!"" *sigh*"
Diona,About Klee Friendship Lv. 4,"Every time Klee wants to play with me, I take her somewhere far from the tavern. Alcohol and explosives... yeah, that's a dangerous combination! I mean, do I want to destroy the wine industry of Mondstadt? Yes, but not in that sense!"
Diona,About Her Father Friendship Lv. 4,"I adore my daddy more than anyone else! He's the greatest! But... Daddy after he drinks, ugh... Argh! I must bring an end to the wine industry of Mondstadt, and soon! No time for chit-chat!"
Diona,More About Diona: I,"Life as a mixologist is very busy! When I'm not at the tavern, I'm out collecting ingredients for new recipes. So... So unless something is urgent, don't bother me."
Diona,More About Diona: II Friendship Lv. 3,"You wouldn't ask me to meow like a cat, like those boozehounds at the tavern do, would you? I wouldn't do it, no way! I'm not some little house pet that just shakes my ears real cute and stretches my back! I'm... I'm Diona, Destroyer of the Wine Industry!"
Diona,More About Diona: III Friendship Lv. 4,"""How did the Destroyer of the Wine Industry become the Cat's Tail's mascot...?"" Y—You're asking this just to make fun of me! Ohhh, you're awful! I won't be giving YOU any more drinks, not even water."
Diona,More About Diona: IV Friendship Lv. 5,"Don't, don't make me angry. I'm pretty tolerant, but don't even try to mess with me. I'm warning you, I bite when I get angry! Meow!!! ...But maybe I'd let you off easy, no bites..."
Diona,More About Diona: V Friendship Lv. 6,"You and me... we're good friends now, right? I kind of remember having a friend like this before, but maybe it was a dream... Here, give me your hand. Ahh... Hmm, nice and warm... Very nice... please don't leave me, and become another dream."
Diona,Diona's Hobbies,"I enjoy hunting. I'm especially good at tracking down prey! But Daddy says that the wild is dangerous. One should only go deep into the forest with a reliable adult. ...You're a reliable adult, right?"
Diona,Diona's Troubles,"How, oh how can I make awful-tasting drinks...? I had high hopes for the soy sauce, milk, Jueyun Chili, and Dandelion Seed cocktail — my most nightmarish combination to date! But even that was met with praise at the tavern. ""This is Little Diona's best drink yet..."" Grr! But I won't give up..."
Diona,Favorite Food,"I like, no, LOVE to eat fish! The fish Daddy cooks is the best, a purrfect main course! ...But eating fish as drunk food, that's absolute blasphemy!"
Diona,Least Favorite Food,"Carrots, potatoes, onions, tomatoes... I don't like the taste of any of those vegetables. ...In fact, I don't eat vegetables at all!"
Diona,Receiving a Gift: I,Mmm! I just wanna ask you this... Will you bring more of it next time?
Diona,Receiving a Gift: II,"I'll admit, that was pretty sweet... but that doesn't mean I haven't had sweeter."
Diona,Receiving a Gift: III,"Hey... What do you take me for, some sort of stray cat!?"
Diona,Birthday,"Here you go — fried fish with my special sauce! ...Relax, I didn't add anything strange! My cooking is actually really good when I want it to be — stop talking and try it already! Hmph... that's better... Oh, and uh, happy birthday."
Diona,Feelings About Ascension: Intro Ascension Phase 1,A cat's eyes can see even the most elusive prey in the dark.
Diona,Feelings About Ascension: Building Up Ascension Phase 2,A cat's ears can hear even the softest footsteps on the ground.
Diona,Feelings About Ascension: Climax Ascension Phase 4,A cat's legs can climb even the tallest tree in all of Teyvat.
Diona,Feelings About Ascension: Conclusion Ascension Phase 6,"A cat's nose can smell those people they are familiar with and like... Ahh!? You're mistaken, how could I say something like that... Ohh..."
Dori,Hello,"Oh! Well if it isn't the renowned Traveler! I'm Dori Sangemah Bay, a traveling merchant. As an introductory gift, you can enjoy a 10% discount on all my wares and merchandise. Feel free to have a look. I'll even help package up your purchase, free of charge."
Dori,Chat: Mora,"♪ I love Mora, and Mora loves me! I make Mora, and it makes me happy! Lalala... ♪"
Dori,Chat: Win-Win,"First, I mark up the price by 30% and then I offer a 20% discount. More Mora for me, and the customers still feel like they're getting a bargain. Now that's what I call a win-win."
Dori,Chat: Money-Mad,"With enough Mora, you can afford to do anything — even take on the Akademiya."
Dori,When It Rains,"Need to stay dry? I have just the thing! This specialty umbrella collects and purifies rain water, turning it into drinking water that is conveniently stored in this compact container — a real must-have for a traveler like yourself! And all that for only 500,000 Mora!"
Dori,When Thunder Strikes,I bet even the caravans can't move under these conditions. I'm losing Mora here...
Dori,When It Snows,Oh oh oh! Check out my fully-automatic snowball maker! It's one of a kind! Wanna give it a try? I'll even throw in a 5% discount on the rental!
Dori,When the Sun Is Out,"There's nothing more beautiful than shiny Mora, glittering in the sun! Hehe."
Dori,When the Wind Is Blowing,"You've gotta be kidding! Who would be crossing the desert on such a windy day? Silly toadstools... What's that? Oh, I can get them out of there of course... But I'll have to triple my usual price, hehehe."
Dori,Good Morning,"Good morning! Last night I had a dream filled with lovely, round, shiny Mora. Seems like today I'm gonna make a fortune!"
Dori,Good Afternoon,"You wanna take a nap? I can offer you a soft, fluffy cushion that will perfectly conform to the contour of your back. Of course, the level of comfort also depends on how much Mora you're willing to pay."
Dori,Good Evening,"Traveling at night can be a real challenge, but for a seasoned merchant like me, it's a walk in the park!"
Dori,Good Night,"Trying to sleep? Hehe, alright. I'll be generous and let you try my Mora Hypnosis! Don't say I never gave you anything! It goes like this: 10,000 Mora in my coin purse, 20,000 Mora in my coin purse, 30,000 Mora in my coin purse, 40... 40,000 Mora hehe... Mora hehe... Zzz..."
Dori,About Dori: Peddling,"Welcome to Dori's Divine Bazaar! Everything you need with service you can rely on! You name it, we've got it! Questions or troubles? I'm here to personally assist you!"
Dori,About Dori: Kshahrewar Friendship Lv. 4,"I tend to avoid people from the Akademiya, all those rules and regulations of theirs make it nearly impossible to do good business. Although, those from the Kshahrewar tend to be a little more sensible... Ahem, between the two of us, they signed a private contract with me. I have the Mora, they have the technology and crafting techniques. This collaboration will practically roll in opportunities for my business. Hehe, a Dori deal is always a lucrative deal!"
Dori,About Us: Promotion,"Planning to travel in Sumeru? The desert can be pretty dangerous, you know — but don't worry, Dori's always got your back! Ta-daaa! This is the Desert Survival Kit. Available to you for only 5 million Mora! Buy it now and I'll throw in an additional Rainforest Survival Kit, free of charge! This deal is available for a limited time only, so don't miss your chance!"
Dori,About Us: Mora Distribution,"My Mora is mine, and your Mora is mine too! Hehehe."
Dori,About Us: Actual Price Friendship Lv. 6,"Fine fine, I'll be honest with you... The desert and rainforest survival kits are worth two and a half million Mora each. But buy one get one free sure sounds like a good bargain, doesn't it?"
Dori,About the Vision Friendship Lv. 4,"Wow, just look at it... My Vision is so shiny and beautiful, isn't it? Don't you think you should pay me a fee for the privilege of seeing such an exquisite beauty?"
Dori,Something to Share,"Once, some stupid toadstools thought they could get away with not paying what they owed. Hmph, little did they know who they were messing with! ...Can you guess what happened to them?"
Dori,Interesting Things: Common Language,"If Weasel Thieves could talk, I bet we'd have a lot in common. What they love most in all of Teyvat is, of course, shiny Mora! Sounds like they've got good heads on their shoulders if you ask me."
Dori,Interesting Things: Sumpter Beast Park,"You'd like to see a Sumpter Beast? No problem! I've got more than you could ever dream of! I'd be happy to let you see them, for a fee... hehe."
Dori,About Cyno Friendship Lv. 4,"You could say I know him. After all, I was the only merchant in all Sumeru who could acquire the full range of Genius Invokation TCG merch for him! Not bad, huh? I've gotta admit, it's pretty rare to see anyone from the Akademiya like him... independent and with a good head on his shoulders. Plus, he's never been one to haggle over prices."
Dori,About Tighnari Friendship Lv. 4,"He loves learning as much as I love Mora. I heard he makes a lot of little interesting gadgets, but he refuses to partner with me to mass produce them. He always says he's too busy with work, but really it's just an excuse. sigh A shame, really... We could make an absolute fortune!"
Dori,About Alhaitham Friendship Lv. 4,"He once came nosing around, asking my minions some questions to see what he could find out. Like I said, those Akademiya people are just pig-headed and dishonest. Why should I take the risk of others prying into my business? Right, my young apprentice?"
Dori,About Kaveh Friendship Lv. 4,"Ah yeah, he's one of the Kshahrewar people that I work with. Unlike the more closed-minded people at the Akademiya, he actually has his own dreams that he's fighting for. I, for one, really respect that. I secretly lent him some Mora — and I mean a LOT of Mora — to build my Palace of Alcazarzaray. One thing's for sure — without Dori the benevolent benefactor, Kaveh would not be where he is today, hehe."
Dori,About Dehya Friendship Lv. 4,"I hire her to help escort my caravans from time to time. After all, she's got the muscle, and her price is reasonable. When it comes to cost-performance ratio, she's always the best pick."
Dori,About Rex Lapis Friendship Lv. 4 A New Star Approaches,"Before Rex Lapis parted from this world, I'd say a little prayer every morning: ""O great God of Wealth up above, please bless my day with more Mora to love."" But uh, now, I guess I just pray to myself... ""O divine Dori right here and now, please bless my day with more Mora to count!"" Hehe."
Dori,About Lesser Lord Kusanali Friendship Lv. 4,"In Sumeru, Lesser Lord Kusanali has very few believers. Hmm? Am I one? Heh, if she's willing to pay me, I'd be her loyal believer for all eternity."
Dori,About Nilou Friendship Lv. 4,"She's a good dancer, but definitely not making the most of her time by staying in Sumeru... I mean, it's a complete waste of her talent. If I took her on tour across all Teyvat, do you have any idea how much Mora I'd rake in?"
Dori,About Alice Friendship Lv. 4,"Alice's range of eccentric novelties knows no end! Which makes her by far my best supplier, hehe. Ahem, now that I've told you my trade secret, I think you should catch up on your tuition fees, hmm? C'mon, pay up!"
Dori,More About Dori: I,"You wanna hear some stories? Alright, it'll cost you a million Mora. Well... Okay, out of respect for our friendship, I guess I can give you a 1% discount. So that'll be 990,000 Mora. Pretty good deal if you ask me."
Dori,More About Dori: II Friendship Lv. 3,"Hehe, you've got a good head on your shoulders. I'll tell you a story about a merchant.A long, long time ago, a merchant lost her way while she was out on the road. It wasn't long before she encountered a Fog Div. Just as the Fog Div was about to eat her alive, she said in a panic, ""Wait, Mr. Fog Div! Don't eat me! I've got a story to tell you. Please, have a listen, and if you like what you hear, then perhaps you would spare me..."
Dori,More About Dori: III Friendship Lv. 4,"...The Fog Div agreed to listen, and the merchant began to tell her story. It was about herself, from a time when business was not doing so well. Just as she was beginning to feel helpless, she happened to find a magic lamp in her warehouse. She began to polish the lamp, when all of a sudden, a puff of red smoke came out. The smoke spoke to her and claimed to be The Genie of Beauty and Kindness. The merchant somehow reminded the genie of her own lovely daughter, so she kindly offered to grant the merchant a wish."
Dori,More About Dori: IV Friendship Lv. 5,"What could a merchant ever desire more than the prospect of more Mora? So the merchant wished that she could earn more Mora in the future than she could ever hope to count. The Genie of Beauty and Kindness agreed, and became the merchant's supplier, providing her with magical and fantastic goods. The merchant soon went on to make a fortune..."
Dori,More About Dori: V Friendship Lv. 6,"Hearing the merchant's story, the Fog Div became very puzzled. The div and the genie were obviously of the same species, so how come the div couldn't perform any magic? The merchant praised the Fog Div's potential, saying that it, too, would surely gain the genie's great power if only it were to stay in the same magic lamp. The Fog Div agreed and entered the merchant's magic lamp... Huh? Is this a real story? Backstory details cost extra! Give me another 990,000 Mora and I'll tell you!"
Dori,Dori's Hobbies,"Hobbies? Sure, I've got tons of hobbies. First there's earning Mora, then there's counting Mora... Oh, and then I like to look at Mora. Ah Mora, nothing in the world makes me happier!"
Dori,Dori's Troubles,"I always have people coming to me with business proposals that could yield only 30% profit. I'm a busy lady, you know. Please, anything under 100% profit, I don't even want to hear about it."
Dori,Favorite Food,"I hear there's a dish in Liyue called Mora Meat. With a name like that, I know it's gotta be delicious! Wh—What? You know how to make it!? Well ahem, you have been my apprentice for some time now, and you must've learned a lot from me. So uh, in exchange for all that you've learned, why don't you cook some Mora Meat for me? Well, what are you waiting for!?"
Dori,Least Favorite Food,"I can't stand anything that's dark and burnt looking... you know, like Charcoal-Baked Ajilenakh Cakes. Ugh, I will never even touch them! Even if you paid me a million Mora, I... Uh, well if that were the case, maybe I'd consider it."
Dori,Receiving a Gift: I,"Mmm, yummy! What do you say we partner up, hmm? You could also be my personal chef!"
Dori,Receiving a Gift: II,"Oh, so my apprentice knows their way around the kitchen, huh? Alright, lemme order something..."
Dori,Receiving a Gift: III,"You expect me to eat this? Hmph, you'd better compensate me for the mental trauma!"
Dori,Birthday,"Today I can grant you one wish! After all, I am the great and almighty Dori! Go on, tell me, what do you wish for? But lemme just tell you now that a lifetime supply of Mora is off the table."
Dori,Feelings About Ascension: Intro Ascension Phase 1,"Does this mean you're investing in me? Hehe, I always knew you had a good head on your shoulders."
Dori,Feelings About Ascension: Building Up Ascension Phase 2,"The Mora, the merrier."
Dori,Feelings About Ascension: Climax Ascension Phase 4,Wow! This is like having a bottomless coin pouch filled with endless power!
Dori,Feelings About Ascension: Conclusion Ascension Phase 6,"Congratulations! You are now a VIP customer of the illustrious Lord Sangemah Bay! This entitles you to enjoy a 20% discount on all future purchases. You're also the first VIP customer ever, so make good use of it!"
Eula,Hello,"Captain Eula Lawrence, Spindrift Knight, Knights of Favonius Reconnaissance Company. I extend to you my greetings. Huh? What's that...? Yes, Lawrence, the evil aristocrats of historical infamy. Oh, we're still very much evil. Just look at me, I'm infiltrating the inner ranks of the Knights of Favonius, all as part of a diabolical plan to exact our revenge and reclaim our former glory!"
Eula,Chat: Etiquette,"Knights and aristocrats share the same cultural heritage, but the knights had enough sense to do away with all the superfluous detail."
