content,score
I never got to play the game because of the 7 billion amount of storage I deleted all of my pictures and it still was not enough!,1
I really love it! This game gives be the vibes for fun 😊,5
good job...,5
Best game ever,5
"My only complaint is how much space it takes up on my device, no matter which device I download it on it takes up so much space and i barely have any games besides this. But its worth it for now I love the graphics and gameplay! Its so fun!",5
"Good music, plot and graphics",5
Nice graphics for low,5
Nice game!,5
FIX DEHYA,1
"i downloaded this on pc, it’s an epic game. although u need tons of memory space i think its worth it",5
"Good gameplay in general, just lacking in several aspects.",3
Cool,5
goooooooooooooooooooooood اصن بهترین بازی فانتزی موبایلی,5
I sincerely apologize that was my little sister who made the rating I love this game it's beautiful 😄,5
I LOVE THIS SO MUCH KEEP WORKING LIKE THIS,5
Happy,5
"love absolutely everything about the game, but i do want more map pins + different shapes.. 150 is not enough ;( it'd be better if there was no limit.",5
"Very great game, Graphics are good, Mechanics are good, Storyline feels kinda rushed but that depends on how you play it.",5
The game play is ok but the customer service is so bad that i was going to start spending money but now I won't spent a dime. I followed the exact instructions from customer service but nothing is working and they take forever to get back to you. I feel I am stuck in an infinite loop of going back and forth.,1
Dream game for anime watchers like me,5
Why delete my review. So that how u guys get all the review point back to 4.0? By deleting negative and low star review?,1
"Klee is pretty cute, I can spend a few.",5
"It is a good game, but pulling the right characters is everything, and if luck is not on your side, money will have to be",4
"Hah... Cape mainnya cuman loncat2 sendirian walaupun story bagus, tapi 2 hari main langsung bosan",3
It is the best game 🥰😊😊😊😊🥰🥰🥰🥰,5
Create an offline section please,1
Best ahhhh,5
"I really wanted to like this game but it may as well be an iOS exclusive. No controller support on PC or Android. 120 frames exclusive to iOS. I liked the story from the short time I played, the game play was fun, but it would be so much better if I could use a controller. LMK if you get controller support for Android and I'll reinstall and give 5*. Until then I'm not paying this game ever again.",1
"Good mechanic system game, I enjoy it a lot. Started with unknowledge about mc, so I choose lumine, but now I regret it, I think aether slightly more suitable with lore (I know that, game dialogue doesn't affect by gender). But please make option to change mc, it's will be perfect!",5
Good game,5
I love lollies,3
я таджик,5
Ok game walau pun macm babi,4
Best game ever,5
Now its boring and pointless,3
بخاطر تبلیغ همجنس گرایی در این بازی یک ستاره میدم . خوبم نبود,3
"Game is fun, but Hoyoverse did Dehya dirty. She is so bad, so very very bad.",1
Bruh it has 20 gb,5
9/10 I'll say 10/10 but it's lagging me,4
A҉w҉s҉o҉m҉e҉ g҉a҉m҉e҉,5
Idk,5
If you like anime stories and want to play a role in it just go for it. Best game ever.,5
mahal sangat topup coyy,5
Game is best but not my phone,5
nice love it,5
Why is it taking so long to download it I don't know when i actually can play it,1
I love this game,5
Ngelaq ajing,1
Been playing for more then a year it's really fun i love all the nations you can go to i love all the characters they're very fun to play the graphics are also very good the story is amazing (and quite sad) all the animations are really REALLY good ! and there are alot of bugs in the game but nothing too game breaking 1 thing i have to say though as a f2p they really need to give f2ps atleast enough primogems to reach pity twice or nearly twice but overall i love the game !,5
very good太好了,5
"Please #fixdeyha . Give us an official answer on the situation, why such a bad job was done. Who is responsible, what the consequences will be.",1
Pay to have fun I suggest that you delete the gacha method and replace it with the possibility of purchasing any character and weapon with a specified number of primogems,1
I love it it's the best game,5
"the game is good, the story is good but its very repetitive pls add skip dialogue features, because sometimes when i get excited for playing genshin i also get bored from the dialogues pls add skip dialogs feature and many people also want a skip dialogue features please consider adding that to the game you can use reference from other game (when skipping dialogue there's a summary about the dialogues) thaks alot genshin",3
This game are so good and real feeling of MMORPG and fighting skill and efact are so awesome is good open world game,4
Genshinlmpact,5
Amazing game I love it! Also it does lag on mobile but besides that on PC and PS4 the quality is amazing,5
I kinda wish there a easier way to delete your account on here without having to use your email,3
"Fix the server,its the only thing in my phone that has huge latency making the game literally unplayable",1
How long is this supposed to take to download? Not worth waiting hours for when all the other games download in a minute or two,1
"Genshin impact has both amazing characters and graphics, the only problems I have with this game is the lack of diversity in their skin tones, and some of the challenges just take way to much time and effort, especially if you don't understand the mechanics or how to build your characters.",3
I love it!,5
What I liked about game is that there is adventure guild and it helps you so much and the best graphics ever,5
money game,1
"PC level game optimised to mobile and it's one of the greatest games I've ever played, sure grinding takes a lot and people say touch grass but I focus on the lore and story more, amazing game",5
"Don't do the Eula story quest, it needs to be quitable. You'll be locked out of multiplayer and certainty pot until you finish",1
Ok,5
the grinds a bit intense but the story makes it consistently interesting,4
Too Hight graphis M,4
People with one star reviews mad they lost their 50/50🤷🏼,5
It was a good game but the fact is that it needs a lot of data which was at first kinda sad because I did not have Wi-Fi.,5
FixDehya u freaks racist,1
Best fr!,5
"Buff Dehya, ult cancels when I jump wth.",1
Nice,5
The game is great but the updates take too much space I'm sorry but I cannot play this anymore,4
"Okay since dev responded I guess I'll expand my thoughts a bit, but before I do, heres a quick warning: The dev comment says to contact customer support, but my ticket was closed immediately (within a second) with an automated response and my email got a non-commital response that was also ai. So, Dehya doesn't do anything she is advertised to do. I cannot in good conscience reccommend a game where a character can be hyped up for so long only to comr out with a clearly bugged and un-tested kit.",1
"Pro: Amazing solo game. Wide world to explore. Tons of activity & quest to chase. Very nice player treatment with events and access to shop & materials. Enemy lv up also, as you lv up, so always a difficult challenge. Heavy grind. Con: Solo game. Anti co-op. The game actually punishes you for playing co-op with friends. While openworld boss are easier to team up against, dungeon enemy gets buffed. Quest are not shared, quest gets locked in multiplayer, absolutely no reason to play with friends.",3
Bro please add skip button. I play 3 acc i already know the story,5
Dehya should be first 3 star character .. what a garbage. Wasted my time and $,1
This game is cool than i immagine and so tragic and adventure i love the story,5
This game is good,5
I love it.,5
Best,5
buff dehya scummy devs no 5 star should be that bad,1
"Game is awesome, but no controllers are compatible for android? It's 2023? Really??",2
The game is working well and fun. I have an advice. Sometime i feel tired or don't have much tome of grinding on the domain for materials or artefacts. I thought that player like me needs some help for that. May be auto battle for solo on domain would help a lot. Hope it could be true. Thank you,4
no eula rerun,1
Fix dehya,1
Very best,5
Very satisfied,5
"It appears they re valuing the players less and less with each decision while being radio silent about it, if the developers would simply communicate plainly it would be better. But they don't do there's really only one thing to do",1
"Quite a fun and pretty game it's scenery is amazing the characters are GORGEOUS. My problem is the artifact system, wishing system. Really hate what they did to my girl dehya she deserves a buff, anyway, the characters are well made (some are meh) the events are sometimes hard but can be quite fun, love some of the characters playstyles and their designs, love how they added the friendship system its quite a nice detail. overall good game REALLY recommend playing but beware of storage!",4
"I have my share of laughter, Thanks for the dead obvious lie back on the 3.5 livestream. Im sure it mislead huge chunk of users, I can't wait to see future characters that's going to have another cover up, if you do please do better when you cover something up. The gameplay looks unconvincing compare to what's being said on script.",1
Mmm yes very good,5
"#FixDehya One of the worst games out there about listen to it's users, period. Game suffers from a lot of issues and Devs seems to not care a little... For Dehya's case I give the app 1 star because 3 reasonable points -False advertisement bout the character as ""powerful"" -Non-existent transparency nor acknowledgement of real user concerning problems -Evidently disregard for user's feedback If Hoyo isn't listening then let this be the spark that ignites a new hell just like the anniversary!!",1
"I have many many hours in this game and it's great, but they just released a character (Dehya) that's just mechanically broken and is pretty much unusable. Hoping that my review along with others will force them to realize they need to fix their mistake.",1
Dehya and candace have been massive disappointments. Overall the end game content is just poor. The abyss is boring. And we need ACTUAL dungeon for the game. The novelty of pulling for characters after 36 starring every abyss is gone. I don't care that it gets harder. It's not more fun. The game needs more resin and more activity surrounding multiplayer that's not limited by resin and has a reward such as artifact potions and weapon ore to keep you busy or something because this is just boring.,1
My phone almost burned because it overheated,1
Very good graphics. Nice knockoff of BOTW with enough different that it's a different game. My major complaint - 21gb of storage and you need wifi to play... seriously? (3.5*),4
great,5
shesh,5
Amazing,5
It's a really fun game but the adventure ranks is hard to do,5
"It awsome, but it needs to lower down the price on character outfits and also wishes for characters",4
This game is 🔥🔥,5
Love this game. The quality and amount of content is amazing. Less impressed with their web events which have soured me on some game aspects but can't be compared to the in game material and the gacha temptation is dangerous. Lol. Lore and character building is addictive as well.,5
please add Rog kunai Gamepad support pls pls pls 🥺,5
"Update: 2 years later and guess what? Still nl Android support for controllers! And if you play with a 3rd party control mapper, you risk getting banned! Done with this game. I have every single character and have kept supporting it in the hopes that either A: Android gets controller support or B: a Switch port comes out. Neither have happened and we're approaching its anniversary in like 2 months or so. You neglected a whole entire platform.",1
حد يعرف ضافو اللغه العربيه ولا لسه؟,5
I love it,5
Been waiting for dehya for 6 month for her to be underwhelming as hell,1
I do not want to see Dehya. How can barbaric woman be this slow and low on damage? I do not want her. Her design bad her playstyle bad. All bad on her...revamp herrrrrr!!!,1
"As a 2 year veteran it pains me to see Hoyoverse just dump out a character as bad as Dehya and call it good. I didn't need her to be meta she just needed to be ""okay"". Its blatant disrespect to any of her fans time and money. Ive just finished uninstalling and don't plan to come back until some kind of Dehya support.",1
good,5
I love the game but there is bugs which needs to be fxed,5
Best game ever,5
This is a fun a bit addicting open world action with great characters and story lots of ways to level up and is overall fun,5
"Dear developers, please, add one important option to the android version of GI - the ability to play with gamepad! PLEASE!",3
Love it,5
Can't load it on my Lenovo yoga smart tab,1
Permitanme cambiar mi cuenta de servidor pagaria si me dejaran.,5
Best app ever and no adds one of very view games have that it's fun to explore and interesting I love the characters,5
Good game,5
would not recomend/j,1
Very good,5
I love it so much! The graphics and Character designs are INSANE! Keep up the amazing work!<3,5
Cool,5
New characters are bad like some 4-stars from sumeru and inazuma. Even 5-star characters like Dehya is not so satisfying to use. Genshin is getting boring each patches.,1
I love Genshin Impact but it can have serious issues with lag. I've cleared off everything on my phone and it still struggles. It ruins the gameplay since I can't even play the game due to it lagging or crashing when I use a teleport waypoint.,5
The game keeps freezing I can't even get past the intro. Please fix me and my son have been looking forward to this game for a while.,3
Amazing,5
It keeps glitching for me,4
Is the my best favorite game for whole life,5
Lots of bishops and lots of characters you can come,5
Cool graphics cool story,5
This game is so fun although we should be able to fly than glide,5
Nice but I rarely get 5 star characters,4
Hello hoyoverse! I have some complains and suggestions for Dehya because she i quite underwhelming as a new character. 1. Dehya's auto-targetting is binda bad. Especially her burst. Her auto-targetting is so bad that she actually can't hit Azhdaha's tail and many other enemies. -I think making her burst to Normal attacks and giving her burst more duration should fix the problem.,1
удалите игру,1
"The currently released new character, Dehya has a questionable skill set design. Given the stubborness to balance characters, I'm worried for the new upcoming ones and the treatment on their other games in general as they don't listen to their playerbase.",1
Fun combat that feels fluid with detailed characters and environments. Every piece of architecture and every detail on the characters has a purpose reflected in the lore. Edit: went from 5 stars to 3 on 3/13/23 due to Hoyoverse's lack of communication with player concerns (which are increasing and being allowed to fester. This is going to lead to something worse if hoyoverse keeps trying to ignore what is going on with their community),3
Don't know why the game is not connecting to server when on mobile internet but get connected to server on wifi .Please tell,1
This is my fav game of all times best game ever made,5
picovina,1
"Great game, very fun, but it really drains my battery and also heating my phone up tho 🤣🤣",4
Noice,5
Am giving it 4 star only because it's compatible in smartphones And I hate what you did to dehya,4
I love razor,5
Super,5
Xiao keeps popping at my fyp in tt and yt and genshin PLS STOP,4
"While a great game, the recent release of Dehya and the numerous bugs found for her, not even including her low numbers for damage and middling damage mitigation, has made me concerned for the state future characters will be released in. I'm not sure if they're banking on purely character design and characterization for sales without building a kit up to par for a 5-star character. But at the end of the day I want to be able to use characters I like effectively, Dehya hurts that confidence.",3
The reason I don't get sleep saving for Yomiya's banner rn.,5
Zmarmowalam zycie grajac w ta gre Nie polecam,1
Everything was ok until tianqu valley,1
Nice,5
Love laugh love genshin,5
Love,5
"I really like this game, but, with the recent release of the 5 star character Dehya and the awful state of her kit, it's clear there is no respect given for the people who play this game, so until such a time as she is buffed to be in line with other 5 star units, I cannot recommend this game to anyone",1
Downloading resources took wayyy too long. I ran out of interest before I even started playing. WHAT THE FRICTION.,1
"It's a really good game with awesome characters but it would be even better if it would not be so laggy. I play Cookie Run Kingdom on the same laptop as well and it runs fine but Genshin is a little laggy. Plus, I can't even download it on my phone because of the amount of storage it has to have and it isn't even compatible on the phone I sometimes play Touhou LW on.",3
I love geshin you get to explore soo many areas I recommend this,5
Fails to take consumer advice,1
I saved for Dehya for more than 3 months and bought a Welkin moon specifically for her. She's extremely disappointing to play. Please buff Dehya.,1
Too hot to play,5
I'm actually really really sad 😭😭 my account loss it's progress i work so hard for it too. Look i love the game i started in like 2021 and stop at 2022 because i was busy with school. I think I played for one year. I just wanna open my account but there's no progress I'm back at the tutorial 😭😭 pls can someone help me get back my account progress or record i got my favorite characters there too 😭😭😭😭😭😭😭. Plssss,3
It is amazing I saw it on my friends phone and I wanna download in so bad and I wanna get deyha idk why people be hating on her,5
who?tho,5
This game is good bro but why dehya is so weak? Honestly diluc is alot stronger than her why make dehya so weak? alot of people expect this character to be so strong,3
"I love this game, I have been playing for quite some time and even poured tons of money into it. BUT you took Dehya someone that many of us were excited to play as and made her absolute garbage. It also seems that since sumeru a lot of the 5 stars were lacking in some way. It's starting to feel like constellations are absolutely necessary. I spend lots of money because I like to, not because I have to. Yet lately it feels like we have to for the characters we like. Please do better.",1
Its perfect 😍💎,5
Fix for low ram devices such as 4 or 5 gb,5
Game is very high download pack,1
Good game,5
"Easily one of the best games on mobile. I love the world exploration, music and relaxing nature of the game. The story is good and I enjoy the grind and swapping between a lot of characters. You should not feel pressure to make lots of - if any - in app purchases as you do not need any paid-for content at all. Plays well on my Moto G phone. After following the wonderful Sumeru storyline I was so happy to try out my favourite character Dehya, but she is broken. Please fix Dehya's kit or numbers",2
The graphic is amazing The way you can handle your characters are great It will be better if we have like PVP options,5
Great quality and great animations and paimon is kinda cute (i aint simping),5
"Ruined player expectation of upcoming characters with dehya, not much excitement anymore",1
Love it,5
Just nothing to say but the best open world game I personally have ever played. (:,5
"There's lot's of things to do. Exploration, leveling and quests that take you on a long journey. Being a gacha game it is quite generous with the character banners compared to many other games, but quite stingy with the weapons banner (although it is less horrible than before now). Level up mats and exp is as expected a part time job to gather, but hey it's free. So if you're looking to just explore a whole new world go for it. For those interested the game currently needs 24gb of space.",4
"The game is great. Good stories, gameplay, and controls. I give it 1 star though because of customer service. I purchased a Battle Pass and was charged twice the amount. I already sent them all the receipts and reference numbers but still no compensation. It's been 2 weeks already and they just keep on requiring me to send details for my purchase.",1
Best Game I Have Ever Played,5
Please no one play this game Mann y'all are gonna get morbidly obese from this go touch grass please,1
This game is so entertaining.When you play this game u won't get bored of this game 🤩,5
This game is good but first thing my phone proccer get very hot so i play only 1 hour,4
Very nice game for open world experience,5
This game sucks,1
"Add an Outfit Gacha, pls",4
"It's a very good game. I recommend it for teenagers and up. In the game you can travel trught the world you can do some quests, you can play co-op and there are many events.I hope you will like it.",5
FIX DEHYA. Do not release unfinished characters with unusable kits. I've sent so many emails already. Make sure your products satisfy your clients. A 5* character should not have the functionality of a 3* one. FIX DEHYA. LISTEN TO PLAYER FEEDBACK.,1
SO GOOD PLS MORE UPDATES,5
I love all genshin impact 💗💗💗💗,5
Very good game,4
Best game ever..I like the story and the animation.. this is the best open world game for mobile devices..I first tried it in my phone and honestly I loved it!!,5
.... Pretty good. 👍,5
I love this game,4
It works good on my phone with lowest settings on medium rendering and visual effects. I love this game it's addicting. I've always wanted to roam around in a virtual open world. But after phone system update the game doesn't start so need to reinstall 20gb+ total waste of effort thanks to the system update.,3
"Disgusting practice to release an unusable and useless 5 star. The game is fine, but i would urge you to stay away since the developers cannot be trusted anymore. It is nothing more than a cash grab that fuels their blatant bias.",1
"You know I really like to play this game but first time I download were first time this game came out, it works but after minute it starts to glitching so bad then I deleted it, wen I goes popular I download it again but after log in and downloading data it doesn't work again and I deleted it and download it again and again for 4or5 times but still doesn't work, today I download it again and first I opened this game it wants me to log in and I do it after it doesn't let me download data!!!!!Idk",1
GESHIN IS THE BEST GAME EVER. But there are a few problems in it 1.Requires too much space 2.The storyline is Hella big 3.No free primogems Like there should be a daily login reward. Still a very nice game.,4
Nice game ❤️,5
Dehya😭😭,1
I love this game,5
It a very fun game and many new characters and fun activities,5
Saya rasa macam dalam isekai sangat mantap 👍🤣,5
PLS BUFF DEHYA'S MULTIPLIER PLS I WANT BIT DMG.,1
Its so cool game hole time,5
💯💖💯💖💯💖💯💖💯💖💯,5
disappointed with dehya's kits and eula 4.0. I waited for so long and well.... I will not play this game anymore,1
It won't let me log into genshin impact I put my email and password then I do the intelligent verification and it says password or email incorrect but it is correct.,2
"Increase resin maximum capicity and time needed to replenish the resin, the region is enlarging and weekly boss is increasing",3
Fun,5
عالی,5
"I've started this game about one year ago. I'll rate 5* because I enjoy this game the most. There're many characters,quest, events,etc. For me,the game graphic is already very nice. I'm satisfied with this game. When you need help, you can go to co-Op and ask for help . But when you finish all quest, events,100% all areas,this game will be very boring. All you can do is just doing dailies, waiting for new version,events,etc. But still, this game is fun!",5
"This game is really perfect in every way! I won't get bored if I spend all my time playing it. And if it could have Persian subtitles, it would be great. Please add persian language if you can.",5
"It's an amazing game, my only problem is that logging into accounts becomes too much of a problem for me.",4
My daily game!,5
So glitches and slow,4
Fix Dehya,1
I'm not changing this until they buff dehya's hp scaling on her skill and elemental burst,1
give alok bang,5
훌륭합니다. 첫 번째 메가바이트만 매우 늦었습니다. 도착하기까지 2~3시간을 기다렸습니다 🥲👌🏻,4
"Wish 90 get 1 star ,80 other 💩, this force add character every update nothing special",1
Not gonna lie it was a good game until they released Dehya as a 5 star character. I saw many complaints to her kit and tried it. Let me tell you something. They did her dirty by making her unplayable. Not even enjoyable! Hoyoverse not taking action with all these complaints is really a bad sign for future characters. Not gonna spend anymore for this if they don't take action and make her at least playable.,1
This game is the best,5
"Hello, I really like to play this game, when I installed the data for the first time and entered the game, the game ran, but when I entered the next morning, it gave an error and said that I had to install the old version, but the old version also said I should install the new version, now what should I do? Do I?",1
garbage game with garbage characters.,1
"I would've rated this below four since people with a maximum of 64 GB Storage has having a hard time, I understand about the part that it has to be this way why would it even be played in a mobile if users like us cannot play freely and enjoy... People especially the Otakus are way concerned about this we wish to play this game at our leisure... And why I've rated 4 stars is because the gameplay is nice when I saw my friends play Genshin Impact...",4
💐💐🌻🌻🌻🌻🌹🌹🌹🌹🌹,5
One of the most important games to me,5
If you hate your life and are always bored this is the perfect game :),5
Best game ever,5
Good gam recommended,5
Gg,5
"I absolutely love this game. The beautiful sceneries, the character designs, the amazing soundtracks, everything is spectacular! I just dont really enjoy how little the rewards are, 5-20 primogems? we need 160 primos to gacha once, so it takes a lot of effort for F2Ps. Luckily, the quests and primo gathering sessions are quite fun to do. The animations play a big role for the game. I even set up a schedule for when i will play this game. Since i have other games i have to take care of, hehe.",5
"Cool game but if Hoyoverse can get away with dropping a character as awful as Dehya, it can happen again, and before you say that I'm a meta slave, I don't care about meta, I care about fun and Dehya's not fun to play at all. #savedehya #buffdehya",1
Fix your game I have a micro sd card in my phone.,2
Best ever,5
你的王國是有福的，因為它不會是紐約靈魂的收割者；他注定要受到永恆的詛咒,5
"The game is fantastic, though my pc storage says otherwise, it's sad I can no longer play it because of that :(",4
i am so autistic about this game its been my special interest for about a year now im obsessed with it,5
این گیم عالییییههههه،برا کسایی که بازیه open word دوست دارن،فقط بدیش اینه که چون ایران تو این وضعه،بازی فیلتره،باید از وی پی ان استفاده کنید،از لنترن یا ارگارد،اینا امن و خوب هستن,5
It's the fortnite of beta hentai men. Halp,2
"very cool game, download IF you have +6gb of ram and if your memory says 128gb under that you're not gonna have a great experience istg",5
Forever will love genshin,5
Very nice,5
Good game 🎯,5
"While the game has been enjoyable for two years, the latest 5☆ character Dehya shows really worrying signs of implemeting the absolute need for extreme spending to make a 5☆ character remotely usable. These kinds of business decisions should not be supported and thus a review that could've been very good turned sour. Fix Dehya.",1
1 star for not making it as polished as it is on the other OS.,1
"Stuck in the loading screen. I'm on AR56 and it always stuck on the loading screen that is saying my network is having error. However, my WiFi is fast and in full signal bars. C'mon, Hoyoverse, it's getting boring in the game but we still manage to play for the sake of the stories and new adventures. Fix this network error issue.",2
I love this game becuase i get dehya and scaramochi siuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuiuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,5
"Artifact rng is terrible, and MiHoYo has not been receptive to criticism from the community about various problems with the game's systems. I've put more time and money into this game than I'd care to admit, and I don't feel that players have been appreciated for their loyalty. Enough is enough, I can't recommend this in good faith to anyone, particularly if you're addiction-prone. The recent release of Dehya has been disappointing from a gameplay standpoint.",1
بازی خیلی خوبی,5
"There's so many adventures omg!!! I've had the game for over a month now, and I seriously recommend it highly. There are still so many things to do in the game. I'm never gonna get bored with this game for sure 😚",5
A great game from frustrating company.,1
"Genshin seemed like such an amazing game so I was really happy whe i downloaded it. But it lets me through the starting bit and it loads with a bunch of small emblems but it gets to the last one and crashes, Every time! it seems like such an amazing game and im so sad i cant even play it.",1
5 stars to make up for the fatherless people who are biased,5
Best game ever beacuse there's diluc duh,5
"Ganshin is fun and the best game I have ever played. Attractive charactes, unique graphics, great game story, cool enemies and...But thanks to Genshin, my bank account is empty",5
Best game I've ever played & never got bored of....,5
Buff dehya,1
"I put a lot of hours into this game and enjoyed it, but Hoyoverse is taking advantage of its playerbase with Dehya by marketing her as very powerful while releasing her with multiple bugs that made it through beta testing. Almost every ability has at least one issue, if not multiple. Abilities end early if you touch a rock, abilities don't stay on the field after use, autotarget misses enemies and attacks random objects... Imagine paying for an unfinished buggy character. They hope you will.",1
The situation with Dehya is a sobering reminder that nothing happens in a gacha game without it being for the express purpose of profit. I want to believe it can be better. But for the time being it just feels bad knowing the devs don't listen to the playerbase.,1
They need to fix Dehya. Her kit is embarrassing for a 5* character. Does not synergize with most other characters and riddled with bugs. Slap in the face to the players. Like they didn't even test her.,1
"I have a lot of things I can say about this game, but the word limit is 500 Words, so I can't do much. This is all in a nutshell: 1)Its fun (pro) 2)It's addicting (pro) 3) It takes up 22GB of my storage (con) 4) Turns my phone into the sun meaning hot as heck (con) That is all I can say in a nutshell. This game is good, and I give it a 4 star because pros are actually good, like this game. Full impression is 1000 words. This max is 500 words. Arl used up 471 Words.",4
Pretty great game with a lot of interactive events,5
It's good,5
i love it,5
Bad game,1
Super good game ✨✨✨✨✨✨✨✨✨✨✨,5
"The best adventure and casual game in mobile,,,, But the gacha system must be reworked, we lose pity oftenly...",5
Wound not even lode saying I didn't have enough storage.,1
Pls buff Dehya,1
Expensive broken 5 Star character...no company response or fix in sight...,1
The best open world game on mobile suiiiii,5
Game is good but sorry I had to do this pls fix dehya,1
"An immersive open world game, but there are a few in game problems with characters Baal/beidou, yoimiya, Kokomo who don't seem fully developed or are simply underwhelming in combat. They are very stingy with any types of rewards but don't take my word for it, go to the Forbes website, they go more in details about mihoyos lack of respect for the player base there.",3
Best game 😌... also stay safe hoyoverse!!,5
Love it,5
dropped from 5* to 2* ..... disappointed with dehya's kit 😒 ...... fix dehya,2
All dark skinned characters are weak in this game.,1
Best experience ever,5
Too much text,1
"Extravagant details in graphics Beautiful stories and main story Solo world play is fantastic 😍 Love the friend function and co-op, However . When you join a friends world. To the game desiger. I been a huge MMORPG player and I truly believe that while in CO-OP mode with friends we can help assist in completing quest , week bosses , and treasure chest loot. I'm sure our fellow players will love the upgrade. :) Thank you for your time. We as players look forward to your new update 😉",3
"the game was fun at first but it progressively became more and more boring, grinding primogems nor doing story quests seem fun anymore. the game takes a lot of storage and is super laggy too, getting primogems are boring, leveling up takes too much time and quests are either too long and informative ( talks too much ) or just really hard to complete in general due to hard puzzles.",3
Nice game,5
10/10 this game looks interesting and i like the battling mechanics then it took time to grind some items it's kinda hard to made it Eula rerun please i like her,5
Released a 5* thats worse than available 4*s...,1
"The only things Genshin has going for it are character designs, music, and events. Endgame is nonexistent, Spiral Abyss is boring and tedious. Also, I hate that they're slowly making new characters money traps when it was f2p friendly before. The new 5 Star character Dehya and her bug-ridden awful kit with pitiful damage and mitigation is by far the worst offender, and Hoyoverse is trying to sweep it under the rug as if nothing happened. Not recommended. Spend your time and money elsewhere.",1
Fix Dehya revamp her kits,1
I personally like the game but I ways have trouble with collectong primogems and wishing properly. Overall 5 out of 5. Really fun and addicting game. I can play for up to 10 hours if allowed.,5
Buff Dehya,1
"Pretty annoying process trying to install this app. Kept saying I didn't have the storage space, but no matter what I did it still came up. I have double, even triple the amount of storage space available and this app still would not install. Lot of wasted time, major bug that needs fixed.",1
THE BEST GAME EVERRRR,5
It's fun,5
Im not fully enjoyed because of my unit my graphics only on lowest set for smooth experience. I hope there will adjustment for lower phone to emjoyed this beautiful open world game and very nice story.. and i would like some request if theres a battle i hope u consider this that theres a background sound for battling experience. Its nice to play if there is. Also i hope theres some combo skills. Thats for now.,5
Fix Dehya,1
Make Dehya better.,1
Wow never knew that a game could be so bad,1
Dehya has good trailer until....,1
"This for Dehya, atleast give her some love",3
"meh ok, requires too much GB",3
its very fun and I love the game play,5
El juego no te recompensa lo suficiente Google deja de borrar mi review,4
There's a theme going on with dark skin tone characters' kits. How long do you think it will last?,1
The best game ever for me! I have played for a year now and I still love it I'm f2p but I've been getting most of the characters I want! I think my luck is going to this game hahahha,5
"Its fun but I have a glitch where I open genshin it'll just stay stuck for the whole time, cutscenes won't load, etc.",2
I really like this game cuz the graphics and the characters so beautiful and handsome.(✯ᴗ✯),5
Idk,5
"account got hacked, no help from hoyoverse, I'm done with this game",1
"The new character, Dehya, has a badly designed kit that is not fit for a 5-star.",1
I saved up and even dropped some cash for the newly released character dehya and shes just not playable outside of gameplay shes amazing but if this is how they'll be treating new characters going forward I'm not gonna support them anymore,1
"I would love to see controller binding for android systems, if I could connect my ps4 controller to my s23+ and play I would give 5 years and recommend",3
"Releasing a character that is barely viable, also costs an absurd amount of money, and not listening to feedback from the community is unacceptable. Hoyoverse needs to upgrade their connection to the community because at the moment there is none.",1
I love this game no issue here keep up the good games I believe in you so keep going,5
Hard to update I hate this 1 because my storage is 30gb my full storage is 64gb BUT WHY I STILL CAN'T UPDATE IT'S JUST SAY INSUFFICIENT STORAGE BLA BLA BLA I DON'T KNOW HOW TO FIX IT UNTIL I OPEN YOUTUBE TO GET THE TRIK STILL NOT WORKING!!,3
Awli,5
"Saved 650 wishes for Deyha for what, a broken, unfinished unit, I want my wishes back, And no I'm not a Deyha simp, I have like every character besides Venti and Zhongli, I've spent money on this game, if you are gona release characters this bad then make them 3 stars and give them out for free.",1
Can't play with bluetooth xbox controller on android.,1
Good game,5
Good graphics and story but it was made a little to cutesee for my taste,4
"First and foremost, genshin is a gacha, so just be aware of that. It's a very great game exploration and combat wise, with a much better story than it needed to have. The reason for my poor review is basically due to the insane lack of polish and care in the newest character(dehya) and the lack of response from CS about anything they're actually planning to do about it.",1
Love it,5
"Everytime I have to sit through some lenghty and boring dialogue, I die a little inside. And it just gets worse in the shape of events and side quests. Why this game doesn't have a skip button, is beyond me.",1
Great game but mihoyo is stingy and recently has been releasing characters with bad or even broken kits Edit: This still holds true as of the 3.5 Patch,1
1 star because it didn't even let me play,1
"Things have fallen low again, they released a 5 star character (the best characters in the game) that her kit was very poorly designed, to a point where basic moves cancel her attacks and her signature use is only used 1/3 of the time you use her and she has no real place in any team. This review is telling Hoyo that we aren't pleased with how they released this character's kit and she needs to be fixed",1
Happy birthday Genshin (stop removing my review dear people 💀),5
Fix Dehya. It's unreal how terrible the character is.,1
W GAME,5
Balance Dehya,1
I love the game and the storytelling telling. The only thing is though I do play this majorly on mobile and it's not easy with just touch screen. I know you guys have let iphones use controllers but this option needs to be included for androids as well. Its been a while since this game has been out and this should have already been added. Other than that like I said I love the game,4
I LOVE IT ITS THE BEST GAME 🎮,5
The game is really good and they have a good journey,5
